question,expected_file,top1_file,top2_file,top3_file,top3_files,is_correct_top1,is_correct_top2,is_correct_top3
Um was geht es hier?,01-introduction.qmd,07-structure.qmd,14-poster.qmd,10-writing.qmd,"['07-structure.qmd', '14-poster.qmd', '10-writing.qmd']",0,0,0
Wie sieht der Alltag eines Forschers aus?,01-introduction.qmd,01-introduction.qmd,02-researchprocess.qmd,07-structure.qmd,"['01-introduction.qmd', '02-researchprocess.qmd', '07-structure.qmd']",1,1,1
Was ist der Unterschied zwischen Grundlagenforschung und anwendungsorientierter Forschung?,01-introduction.qmd,01-introduction.qmd,10-writing.qmd,02-researchprocess.qmd,"['01-introduction.qmd', '10-writing.qmd', '02-researchprocess.qmd']",1,1,1
Was ist der Unterschied zwischen Studie und Experiment?,02-researchprocess.qmd,02-researchprocess.qmd,04-datacollection.qmd,08-content.qmd,"['02-researchprocess.qmd', '04-datacollection.qmd', '08-content.qmd']",1,1,1
Was ist der Unterschied zwischen Reproduzierbarkeit und Replizierbarkeit?,02-researchprocess.qmd,02-researchprocess.qmd,08-content.qmd,08-content.qmd,"['02-researchprocess.qmd', '08-content.qmd', '08-content.qmd']",1,1,1
Was beinhaltet der Kommunikationsteil?,02-researchprocess.qmd,02-researchprocess.qmd,08-content.qmd,07-structure.qmd,"['02-researchprocess.qmd', '08-content.qmd', '07-structure.qmd']",1,1,1
Wie ist die Reihenfolge der Autoren?,03-literature.qmd,03-literature.qmd,09-formatting.qmd,08-content.qmd,"['03-literature.qmd', '09-formatting.qmd', '08-content.qmd']",1,1,1
Was qualifiziert mich als Autorin?,03-literature.qmd,03-literature.qmd,08-content.qmd,09-formatting.qmd,"['03-literature.qmd', '08-content.qmd', '09-formatting.qmd']",1,1,1
Was ist eine Fallstudie?,03-literature.qmd,02-researchprocess.qmd,08-content.qmd,08-content.qmd,"['02-researchprocess.qmd', '08-content.qmd', '08-content.qmd']",0,0,0
Was sind die 4 Fragen?,03-literature.qmd,02-researchprocess.qmd,03-literature.qmd,10-writing.qmd,"['02-researchprocess.qmd', '03-literature.qmd', '10-writing.qmd']",0,1,1
Wofür sind preprints nützlich?,03-literature.qmd,03-literature.qmd,12-publishing.qmd,14-poster.qmd,"['03-literature.qmd', '12-publishing.qmd', '14-poster.qmd']",1,1,1
Welche Bibliothek hat mehr als 12 Mio Zeitschriftenartikel?,03-literature.qmd,03-literature.qmd,03-literature.qmd,03-literature.qmd,"['03-literature.qmd', '03-literature.qmd', '03-literature.qmd']",1,1,1
Für was brauche ich VPN?,03-literature.qmd,03-literature.qmd,04-datacollection.qmd,03-literature.qmd,"['03-literature.qmd', '04-datacollection.qmd', '03-literature.qmd']",1,1,1
Kann ich die Referenzliste eines Zitationsprogrammes direkt übernehmen?,03-literature.qmd,03-literature.qmd,03-literature.qmd,09-formatting.qmd,"['03-literature.qmd', '03-literature.qmd', '09-formatting.qmd']",1,1,1
Was ist Psychological Review für eine Zeitschrift,03-literature.qmd,03-literature.qmd,01-introduction.qmd,03-literature.qmd,"['03-literature.qmd', '01-introduction.qmd', '03-literature.qmd']",1,1,1
Welche Personen sind bei der Datenerhebung wichtig?,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
Was macht die Ethikkommission?,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
Was ist die Kosten-Nutzen-Frage?,04-datacollection.qmd,04-datacollection.qmd,02-researchprocess.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '02-researchprocess.qmd', '04-datacollection.qmd']",1,1,1
Worüber muss ich die Versuchspersonen informieren?,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
"Worauf muss ich achten, wenn die Versuchsperson unangenehme Bilder während des Experiments sieht?",04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
Welche Aufgaben hat die Projektleitung?,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,04-datacollection.qmd,"['04-datacollection.qmd', '04-datacollection.qmd', '04-datacollection.qmd']",1,1,1
